"id","question","option_a","option_b","option_c","option_d","correct_option","fun_fact"
1055,"I’m a canyon so big, even your echo gets tired. Who am I?","Grand Canyon","Death Valley","Bryce Canyon","Yosemite Valley","Grand Canyon","The Grand Canyon is over a mile deep and took millions of years to form — patience level: Earth!"
1426,"I sleep hanging by my toes and upside down. Who am I?","Bat","Sloth","Monkey","Bird","Bat","Bats hang upside down to rest — gravity is their favorite bed!"
1056,"I’m the place where tech dreams are coded into reality. Who am I?","Silicon Valley","Wall Street","Times Square","Boston","Silicon Valley","Silicon Valley got its name from the silicon chips used in early computers — geek central!"
1057,"I’m where music meets soul — and Elvis still lives in hearts. Who am I?","Memphis","Nashville","Austin","New Orleans","Memphis","Memphis is home to Graceland — Elvis Presley’s mansion turned fan paradise!"
1058,"I’m an American food that’s round, cheesy, and everyone loves me on Fridays. Who am I?","Pizza","Burger","Hotdog","Taco","Pizza","Americans eat about 100 acres of pizza every day — that’s a real 'cheesy' achievement!"
1059,"I’m America’s favorite morning drink — black, hot, and full of energy. Who am I?","Coffee","Tea","Juice","Cola","Coffee","Americans drink about 400 million cups of coffee daily — caffeine truly runs the nation!"
1060,"I’m the largest store chain that sells everything from socks to sandwiches. Who am I?","Walmart","Target","Costco","Amazon","Walmart","90% of Americans live within 10 miles of a Walmart — so it’s basically a national landmark!"
1061,"I’m an American sport that uses helmets, touchdowns, and nachos. Who am I?","Football","Baseball","Basketball","Hockey","Football","The Super Bowl is the most-watched TV event in the U.S. — and the snacks are legendary!"
1062,"I’m a city famous for jazz, beads, and parades. Who am I?","New Orleans","Chicago","Houston","Denver","New Orleans","Mardi Gras parades started in the 1830s — and they still throw over 25 million beads yearly!"
1063,"I’m the place where dreams go to college — and debts go to grow. Who am I?","Harvard","MIT","Stanford","Yale","Harvard","Harvard is the oldest university in the U.S. — founded before electricity was even a thing!"
1064,"I’m a drink that fizzes with joy and sugar. Who am I?","Coca-Cola","Pepsi","Root Beer","Sprite","Coca-Cola","Coca-Cola was originally green and once contained real cocaine — ultimate energy drink!"
1065,"I’m the American dream on four wheels. Who am I?","Ford Mustang","Chevrolet","Tesla","Dodge Charger","Ford Mustang","The first Mustang sold in 1964 cost only $2,368 — now that’s a classic bargain!"
1066,"I’m the American fast-food icon that says 'I’m lovin’ it'. Who am I?","McDonald's","KFC","Burger King","Subway","McDonald's","McDonald's sells 75 hamburgers every second — that’s faster than you can say 'supersize'!"
1067,"I’m a round, sweet breakfast that gets drenched in syrup. Who am I?","Pancake","Donut","Waffle","Bagel","Pancake","The world’s largest pancake was over 49 feet wide — big enough for a pancake pool party!"
1068,"I’m a symbol of American music and broken guitars. Who am I?","Rock 'n' Roll","Jazz","Country","Hip-Hop","Rock 'n' Roll","Rock 'n' Roll started in the U.S. in the 1940s — and parents have been complaining ever since!"
1069,"I’m the city famous for tech, tacos, and Tesla cars zooming around. Who am I?","Austin","San Jose","Seattle","Houston","Austin","Austin is known as the ‘Live Music Capital of the World’ — even the bats groove here!"
1070,"I’m the American icon that lands people on the moon. Who am I?","NASA","SpaceX","Boeing","Blue Origin","NASA","NASA was formed in 1958 — and has been making history (and memes) ever since!"
1071,"I’m a national park where geysers shoot water sky-high. Who am I?","Yellowstone","Yosemite","Zion","Grand Canyon","Yellowstone","Yellowstone is home to over half the world’s geysers — and smells like science!"
1072,"I’m the Big Apple of the world — everyone wants a bite of me. Who am I?","New York City","Washington D.C.","Boston","Chicago","New York City","The nickname 'Big Apple' comes from jazz musicians in the 1920s — not from fruit sellers!"
1073,"I’m a cold northern state where moose outnumber people. Who am I?","Alaska","Montana","North Dakota","Maine","Alaska","Alaska has more coastline than all other U.S. states combined — that’s a lot of chill!"
1074,"I’m a city famous for my fog and my bridge that’s not gold. Who am I?","San Francisco","Los Angeles","Portland","Seattle","San Francisco","The Golden Gate Bridge’s color was an accident — engineers just loved the primer shade!"
1075,"I’m a U.S. state where everything’s bigger — even the bragging. Who am I?","Texas","California","Florida","Oklahoma","Texas","Texas is so big, you could fit France inside it — and still have space for a rodeo!"
1076,"I’m the city where the ball drops every New Year’s Eve. Who am I?","New York City","Los Angeles","Las Vegas","Miami","New York City","Over one million people gather in Times Square each year to watch that glowing ball drop!"
1077,"I’m a U.S. state known for sunshine, oranges, and alligators. Who am I?","Florida","California","Texas","Georgia","Florida","Florida produces about 70% of the U.S. oranges — it’s literally the juice capital of America!"
1078,"I’m the place where country music wears its cowboy boots proudly. Who am I?","Nashville","Memphis","Dallas","Austin","Nashville","Nashville is called ‘Music City’ and has more guitars than people who can play them!"
1079,"I’m an American snack that pops when you heat me. Who am I?","Popcorn","Chips","Cookies","Pretzels","Popcorn","Americans eat about 14 billion quarts of popcorn every year — movie nights are serious business!"
1080,"I’m the American holiday where everyone eats turkey and naps. Who am I?","Thanksgiving","Independence Day","Labor Day","Christmas","Thanksgiving","The first Thanksgiving in 1621 lasted three whole days — talk about a food marathon!"
1081,"I’m the city where dreams of becoming a star come true (or crash). Who am I?","Hollywood","Las Vegas","New York","San Francisco","Hollywood","The Hollywood Sign originally read 'Hollywoodland' — real estate promotion gone legendary!"
1082,"I’m the American invention that lets you fly without wings. Who am I?","Airplane","Car","Helicopter","Spaceship","Airplane","The Wright brothers’ first flight lasted only 12 seconds — but it changed the world forever!"
1083,"I’m the big hole in the ground that tourists can’t stop photographing. Who am I?","Grand Canyon","Death Valley","Yellowstone","Bryce Canyon","Grand Canyon","The Grand Canyon is so massive, it creates its own weather — nature’s mood swing!"
1084,"I’m the city where coffee runs as strong as the rain. Who am I?","Seattle","Portland","Chicago","Boston","Seattle","Seattle is home to the first Starbucks — caffeine central since 1971!"
1085,"I’m a sandwich filled with beef, cheese, and attitude. Who am I?","Philly Cheesesteak","Burger","Hotdog","BLT","Philly Cheesesteak","Created in Philadelphia, this sandwich is so famous it has its own rivalry over bread!"
1086,"I’m the river that divides America and sings like country music. Who am I?","Mississippi River","Colorado River","Ohio River","Missouri River","Mississippi River","The Mississippi River is so long, it flows through 10 states — and countless songs!"
1087,"I’m the American dessert that comes with apples and patriotism. Who am I?","Apple Pie","Pumpkin Pie","Cheesecake","Pecan Pie","Apple Pie","The saying ‘as American as apple pie’ became popular during World War II!"
1088,"I’m the famous mountain that’s always snow-capped in pictures. Who am I?","Mount Denali","Mount Rushmore","Mount Hood","Mount Rainier","Mount Denali","Denali is the tallest mountain in North America — taller than 10 Empire State Buildings stacked!"
1089,"I’m the U.S. state where everyone surfs more than they walk. Who am I?","Hawaii","California","Florida","Oregon","Hawaii","Surfing was born in Hawaii — ancient Hawaiians rode waves long before it was cool!"
1090,"I’m the burger chain where a clown makes your meal famous. Who am I?","McDonald's","Wendy’s","Burger King","In-N-Out","McDonald's","The McDonald’s golden arches are more recognizable than the Christian cross worldwide!"
1091,"I’m the American car company that started in a Detroit garage. Who am I?","Ford","Chevrolet","Dodge","Tesla","Ford","Henry Ford revolutionized car making by introducing the moving assembly line in 1913!"
1092,"I’m the land of cowboys, BBQ, and big hats. Who am I?","Texas","Arizona","Kansas","Oklahoma","Texas","Texas was once its own country — and locals still act like it!"
1093,"I’m a theme park where dreams ride on rollercoasters. Who am I?","Disneyland","Universal Studios","Six Flags","SeaWorld","Disneyland","Disneyland opened in 1955 — and Walt Disney had his own secret apartment inside!"
1094,"I’m the U.S. government building shaped like a giant 'stop sign'. Who am I?","Pentagon","Capitol Building","White House","FBI Headquarters","Pentagon","The Pentagon has 17.5 miles of hallways — so getting lost is basically part of the job!"
1095,"I’m the U.S. city known for cable cars, tech startups, and steep hills. Who am I?","San Francisco","Seattle","Portland","Boston","San Francisco","San Francisco’s cable cars are the only moving National Historic Landmark in the U.S.!"
1096,"I’m a giant green lady holding a torch, welcoming people to New York. Who am I?","Statue of Liberty","Eiffel Tower","Big Ben","Mount Rushmore","Statue of Liberty","The Statue of Liberty’s full name is 'Liberty Enlightening the World' and she was a gift from France in 1886."
1097,"I’m the home of Mickey Mouse and endless fun in Florida. Who am I?","Disneyland","Universal Studios","Walt Disney World","SeaWorld","Walt Disney World","Walt Disney World is roughly the same size as San Francisco — so yes, you can actually get lost in happiness!"
1098,"I’m the building where the U.S. President lives and works. Who am I?","The Pentagon","The Capitol","The White House","Lincoln Memorial","The White House","The White House has 132 rooms, 35 bathrooms, and even a bowling alley — presidential strikes only!"
1099,"I’m a mountain with the faces of four U.S. presidents carved on me. Who am I?","Grand Canyon","Mount Rushmore","Rocky Mountains","Yosemite","Mount Rushmore","Mount Rushmore took 14 years to build, and each nose on the sculpture is about 20 feet long!"
1100,"I’m a place in Nevada where people try their luck and lose their money. Who am I?","Las Vegas","Los Angeles","Miami","Chicago","Las Vegas","There’s estimated to be one slot machine for every eight people in Las Vegas — that’s a lot of hope and heartbreak!"
1101,"I’m a U.S. state known for its Hollywood dreams. Who am I?","New York","Florida","California","Texas","California","California’s economy is so large that if it were a country, it would be the fifth largest economy in the world!"
1102,"I’m the tallest building in the United States, standing in New York City. Who am I?","Willis Tower","One World Trade Center","Empire State Building","Chrysler Building","One World Trade Center","The One World Trade Center is exactly 1,776 feet tall — a number chosen to symbolize the year of U.S. independence."
1103,"I’m a huge canyon that’s a favorite selfie spot in Arizona. Who am I?","Bryce Canyon","Grand Canyon","Zion Canyon","Antelope Canyon","Grand Canyon","The Grand Canyon is over 277 miles long — that’s like driving from New York to Washington D.C.!"
1104,"I’m the U.S. city that never sleeps. Who am I?","Los Angeles","Chicago","New York City","Miami","New York City","New York got its nickname because the subways and diners are literally open 24/7 — even your sleep schedule can’t keep up!"
1105,"I’m the American fast-food chain famous for my golden arches. Who am I?","Burger King","Wendy’s","McDonald’s","Subway","McDonald’s","McDonald’s feeds over 68 million people daily — that’s more than the population of the UK!"
1106,"I’m the U.S. landmark where Martin Luther King Jr. gave his ‘I Have a Dream’ speech. Who am I?","The Capitol","Lincoln Memorial","Washington Monument","White House","Lincoln Memorial","Over 250,000 people gathered at the Lincoln Memorial for MLK’s historic 1963 speech."
1107,"I’m a famous bell with a crack, symbolizing American freedom. Who am I?","The Freedom Bell","The Liberty Bell","The Independence Bell","The Freedom Gong","The Liberty Bell","The Liberty Bell cracked the first time it rang — talk about a loud mistake that made history!"
1108,"I’m the first American president whose face appears on the dollar bill. Who am I?","Abraham Lincoln","Thomas Jefferson","George Washington","John Adams","George Washington","George Washington’s teeth weren’t wooden — they were made of human teeth, gold, and animal bone!"
1109,"I’m the U.S. space agency that sent humans to the moon. Who am I?","NASA","SpaceX","Blue Origin","Roscosmos","NASA","NASA’s Apollo 11 mission made Neil Armstrong the first man to step on the moon in 1969 — and he left his footprints forever."
1110,"I’m the city known for jazz music and Mardi Gras celebrations. Who am I?","New Orleans","Atlanta","Austin","Nashville","New Orleans","New Orleans hosts one of the world’s biggest parades — where beads, masks, and jazz take over the streets."
1111,"I’m the U.S. state known for cowboys, oil, and BBQ. Who am I?","Texas","Kansas","Arizona","Nevada","Texas","Texas was once its own country before joining the U.S. — yeehaw to that independence spirit!"
1112,"I’m the river that flows through the Grand Canyon. Who am I?","Mississippi River","Colorado River","Ohio River","Rio Grande","Colorado River","The Colorado River carved the Grand Canyon over millions of years — that’s patience on a geological level!"
1113,"I’m the U.S. state that’s home to the Great Lakes. Who am I?","Michigan","Minnesota","Wisconsin","Illinois","Michigan","Michigan touches four of the five Great Lakes — basically, it’s America’s watery hand!"
1114,"I’m a 19th-century U.S. president known for ending slavery. Who am I?","George Washington","Abraham Lincoln","Theodore Roosevelt","Andrew Jackson","Abraham Lincoln","Lincoln kept important papers inside his tall hat — making it both a fashion statement and a filing cabinet!"
1115,"I’m the American national bird, symbol of freedom. Who am I?","Pigeon","Bald Eagle","Owl","Peacock","Bald Eagle","The bald eagle isn’t actually bald — its name comes from an old English word meaning ‘white-headed.’"
1116,"I’m the tallest statue in the USA, standing proudly in New York Harbor. Who am I?","Mount Rushmore","Statue of Liberty","Lincoln Memorial","Empire State Building","Statue of Liberty","The Statue of Liberty’s finger is 8 feet long — so basically, her hand could high-five a bus!"
1117,"I’m the U.S. national anthem often sung at baseball games. Who am I?","God Bless America","The Star-Spangled Banner","America the Beautiful","Yankee Doodle","The Star-Spangled Banner","The song was written by a lawyer during a war — talk about multitasking under fire!"
1118,"I’m a U.S. president whose face is on the $5 bill. Who am I?","Abraham Lincoln","George Washington","Ulysses S. Grant","Thomas Jefferson","Abraham Lincoln","Lincoln stored his speeches in his hat — so yes, he was literally a man with ideas on his head!"
1119,"I’m the city where dreams are made and movies are filmed. Who am I?","New York","Los Angeles","Miami","Chicago","Los Angeles","The Hollywood sign originally said 'HOLLYWOODLAND' — they dropped the 'land' to sound cooler."
1120,"I’m a U.S. state famous for beaches, oranges, and Disney World. Who am I?","Florida","California","Hawaii","Texas","Florida","Florida produces over 70% of America’s oranges — basically, it’s the juice factory of the nation!"
1121,"I’m a U.S. river so long I inspired a whole song about myself. Who am I?","Mississippi River","Colorado River","Ohio River","Missouri River","Mississippi River","The Mississippi River is so long that it passes through 10 states — and more fish species than Europe!"
1122,"I’m a huge rock formation in Arizona with jaw-dropping views. Who am I?","Grand Canyon","Yellowstone","Yosemite","Rocky Mountains","Grand Canyon","It’s so deep that you could stack six Empire State Buildings inside and still have room for snacks!"
1123,"I’m the American inventor who gave the world the light bulb. Who am I?","Nikola Tesla","Alexander Graham Bell","Thomas Edison","Benjamin Franklin","Thomas Edison","Edison failed over 1,000 times before success — talk about lighting up the path to perseverance!"
1124,"I’m the building where the U.S. Congress meets. Who am I?","The Pentagon","The White House","U.S. Capitol","Supreme Court","U.S. Capitol","The Capitol’s dome is made of iron — and weighs over 9 million pounds. Talk about heavy democracy!"
1125,"I’m the American holiday where people eat turkey and watch football. Who am I?","Thanksgiving","Christmas","Independence Day","Labor Day","Thanksgiving","Benjamin Franklin wanted the turkey to be America’s national bird — imagine that on your flag!"
1126,"I’m the famous waterfall that borders the U.S. and Canada. Who am I?","Niagara Falls","Angel Falls","Victoria Falls","Yosemite Falls","Niagara Falls","Niagara Falls can fill 1 million bathtubs every minute — that’s one super-speed shower!"
1127,"I’m the first U.S. president ever. Who am I?","George Washington","John Adams","Thomas Jefferson","Abraham Lincoln","George Washington","Washington had to borrow money to attend his own inauguration — not the richest start for a president!"
1128,"I’m the U.S. city known for jazz, beignets, and Mardi Gras. Who am I?","New Orleans","Chicago","Houston","Nashville","New Orleans","New Orleans hosts the world’s biggest party every year — and even the buildings dance with colors!"
1129,"I’m the American space agency that reached the moon. Who am I?","NASA","SpaceX","Blue Origin","Lockheed Martin","NASA","NASA’s computers in 1969 had less power than your smartphone — yet they still reached the moon!"
1130,"I’m the American snack that pops when heated. Who am I?","Popcorn","Chips","Pretzels","Donuts","Popcorn","Popcorn was invented thousands of years ago — even cavemen probably munched during fire shows!"
1131,"I’m the American tech company started in a garage by two Steves. Who am I?","Microsoft","Apple","Amazon","Google","Apple","Apple’s first computer sold for $666.66 — spooky or just good marketing math?"
1132,"I’m the mountain range running along the eastern U.S. Who am I?","Rocky Mountains","Appalachian Mountains","Sierra Nevada","Andes","Appalachian Mountains","The Appalachians are older than the Himalayas — like grandpa mountains with attitude!"
1133,"I’m the U.S. holiday celebrating freedom from British rule. Who am I?","Independence Day","Memorial Day","Veterans Day","Labor Day","Independence Day","Americans eat about 150 million hot dogs on July 4th — that’s enough to stretch across the country!"
1134,"I’m the largest state in the USA by area. Who am I?","Texas","California","Alaska","Montana","Alaska","Alaska is so big, it could fit Texas twice — and still have room for all the moose!"
1135,"I’m the first person to step on the moon. Who am I?","Neil Armstrong","Buzz Aldrin","John Glenn","Yuri Gagarin","Neil Armstrong","Armstrong’s first step on the moon was watched by over 600 million people — no pressure at all!"
1136,"I’m the American city famous for pizza and skyscrapers. Who am I?","Chicago","New York","Los Angeles","Boston","Chicago","Chicago’s deep-dish pizza is so thick, it’s basically a cheese-filled swimming pool!"
1137,"I’m the U.S. monument shaped like a tall obelisk in Washington D.C. Who am I?","Lincoln Memorial","Washington Monument","Capitol Building","Jefferson Memorial","Washington Monument","It’s the world’s tallest stone structure — made from over 36,000 blocks with no steel inside!"
1138,"I’m the American document that begins with 'We the People'. Who am I?","The Constitution","The Bill of Rights","The Declaration of Independence","The Federalist Papers","The Constitution","The U.S. Constitution is the oldest written national constitution still in use — a true OG of democracy!"
1139,"I’m the fast food chain famous for a clown mascot. Who am I?","McDonald’s","Burger King","KFC","Wendy’s","McDonald’s","Ronald McDonald has been around since 1963 — longer than most of their Happy Meal toys!"
1140,"I’m the U.S. state known as the 'Lone Star State'. Who am I?","Texas","Arizona","Oklahoma","New Mexico","Texas","Texas was once its own country — and its flag still proudly reminds everyone about it!"
1141,"I’m the U.S. company that sells everything from A to Z online. Who am I?","eBay","Amazon","Walmart","Target","Amazon","Amazon started as a small online bookstore — now it sells everything except maybe patience!"
1142,"I’m the famous U.S. bell that has a big crack. Who am I?","Freedom Bell","Liberty Bell","Justice Bell","Victory Bell","Liberty Bell","The bell cracked the first time it rang — sometimes mistakes really do make legends!"
1143,"I’m the American inventor of the airplane. Who am I?","Henry Ford","The Wright Brothers","Nikola Tesla","Alexander Bell","The Wright Brothers","The Wright Brothers’ first flight lasted only 12 seconds — shorter than most text messages!"
1144,"I’m the U.S. city where the famous Hollywood sign stands. Who am I?","Los Angeles","Las Vegas","San Francisco","San Diego","Los Angeles","The Hollywood sign letters are 45 feet tall — taller than a four-story building!"
1145,"I’m the American company known for electric cars and rockets. Who am I?","Tesla","SpaceX","Ford","GM","Tesla","Tesla cars have a 'Dog Mode' to keep pets cool — even your pup can vibe in style!"
1146,"I’m the U.S. sport where players hit home runs. Who am I?","Basketball","Football","Baseball","Hockey","Baseball","Baseball was invented in the 1800s — and it’s still America’s favorite way to eat hot dogs for 3 hours!"
1147,"I’m the U.S. state that grows the most corn. Who am I?","Iowa","Nebraska","Illinois","Kansas","Iowa","Iowa produces so much corn that some of it even becomes car fuel — yes, your car might be eating cornflakes!"
1148,"I’m the American city known as 'Sin City'. Who am I?","Las Vegas","Los Angeles","Miami","Dallas","Las Vegas","Vegas has over 150,000 hotel rooms — that’s enough to host an entire small country!"
1149,"I’m the American company known for soft drinks and red cans. Who am I?","Coca-Cola","Pepsi","Dr Pepper","Sprite","Coca-Cola","Coca-Cola was once green — and it used to contain real coca leaves in its recipe!"
1317,"I’m the U.S. state famous for Disneyland. Who am I?","Texas","Florida","California","Nevada","California","Disneyland was built in just one year — proving dreams really do come fast!"
1150,"I’m the tallest building in New York City. Who am I?","One World Trade Center","Empire State Building","Chrysler Building","Rockefeller Center","One World Trade Center","It’s exactly 1,776 feet tall — a nod to America’s year of independence!"
1151,"I’m the U.S. monument with four presidents’ faces. Who am I?","Mount Rushmore","Grand Canyon","Liberty Mountain","Presidential Hill","Mount Rushmore","Each president’s head is 60 feet tall — that’s like a six-story building made of history!"
1152,"I’m the U.S. holiday where people dress up as spooky creatures. Who am I?","Halloween","Thanksgiving","Easter","Labor Day","Halloween","Americans spend over $9 billion on Halloween — mostly on candy and costumes for their pets!"
1153,"I’m the U.S. city where jazz was born. Who am I?","New Orleans","New York","Detroit","Memphis","New Orleans","Jazz music was born in New Orleans — and it spread faster than a saxophone solo!"
1154,"I’m the American sport with a touchdown dance. Who am I?","Football","Basketball","Baseball","Hockey","Football","The first Super Bowl ticket cost just $12 — now it’s worth more than your phone!"
1155,"I’m the U.S. state made up entirely of islands. Who am I?","Hawaii","Florida","Alaska","Maine","Hawaii","Hawaii’s islands were formed by volcanoes — talk about hot property!"
1156,"I’m the U.S. city known for the Golden Gate Bridge. Who am I?","San Francisco","Los Angeles","Seattle","Portland","San Francisco","The Golden Gate Bridge isn’t gold — it’s painted 'International Orange' for visibility in fog!"
1157,"I’m the U.S. mountain known as the tallest in North America. Who am I?","Mount Whitney","Mount Denali","Mount Rainier","Mount Elbert","Mount Denali","Denali means 'The High One' in native Alaskan language — and it totally lives up to that name!"
1158,"I’m the U.S. desert famous for cacti and sunsets. Who am I?","Sahara Desert","Sonoran Desert","Mojave Desert","Death Valley","Mojave Desert","Death Valley once hit 134°F — making it the hottest place on Earth. Literally an outdoor oven!"
1159,"I’m the U.S. city where the Liberty Bell lives. Who am I?","Philadelphia","Boston","Washington D.C.","New York","Philadelphia","Philadelphia was the first U.S. capital — and it still serves history with cheesesteaks!"
1160,"I’m the U.S. invention that lets people fly in the sky. Who am I?","Helicopter","Airplane","Jet","Glider","Airplane","The Wright Brothers’ first plane was made from wood, fabric, and dreams — but it changed the world!"
1161,"I’m the famous U.S. document signed in 1776. Who am I?","Bill of Rights","Declaration of Independence","The Constitution","Federalist Papers","Declaration of Independence","John Hancock signed it so big that people said he wanted the king to read it without glasses!"
1162,"I’m the U.S. national flower known for my beauty. Who am I?","Rose","Tulip","Lily","Sunflower","Rose","The rose became America’s national flower in 1986 — beauty officially recognized by law!"
1163,"I’m the U.S. landmark where presidents take their oaths. Who am I?","The White House","Capitol Hill","Lincoln Memorial","Washington Monument","Capitol Hill","Every president since 1801 has been inaugurated at the Capitol — it’s basically the nation’s main stage!"
1164,"I’m the American city where country music rules. Who am I?","Nashville","Austin","Memphis","Dallas","Nashville","Nashville is called 'Music"
1165,"I’m the city where dreams shine brighter than stars, and actors chase fame on every street. Who am I?","New York","Los Angeles","Las Vegas","San Diego","Los Angeles","Hollywood sign originally read 'Hollywoodland' and was just an ad for a housing project before fame took over!"
1166,"I’m the land of tea, cricket, and Bollywood. Who am I?","India","Sri Lanka","Pakistan","Bangladesh","India","India produces over 1,000 movies a year — that’s more drama than your favorite soap opera!"
1167,"I’m a green statue holding a torch and a tablet. Who am I?","Eiffel Tower","Statue of Liberty","Christ the Redeemer","Big Ben","Statue of Liberty","The statue’s copper was once shiny like a new penny, but it turned green due to oxidation — nature’s free paint job!"
1168,"I’m the desert city that never sleeps and sparkles even at midnight. Who am I?","Las Vegas","Dubai","Los Angeles","Phoenix","Las Vegas","There are no clocks in Las Vegas casinos — time doesn’t exist when you’re having too much fun losing money!"
1169,"I’m known for my cheese, cows, and football team called the Packers. Who am I?","Wisconsin","Texas","Ohio","Michigan","Wisconsin","Fans wear cheese-shaped hats called 'cheeseheads' — talk about being totally committed to dairy!"
1170,"I’m the largest tropical rainforest in the world. Who am I?","Amazon Rainforest","Congo Basin","Sundarbans","Daintree Forest","Amazon Rainforest","The Amazon produces 20% of Earth’s oxygen — basically, it’s the planet’s green lung!"
1171,"I’m the tallest building in the USA. Who am I?","Empire State Building","Willis Tower","One World Trade Center","Chrysler Building","One World Trade Center","It stands 1,776 feet tall — symbolizing the year America declared independence. That’s patriotic architecture!"
1172,"I’m the most famous mouse in the world and wear red shorts. Who am I?","Jerry","Mickey Mouse","Stuart Little","Mighty Mouse","Mickey Mouse","Mickey was originally named 'Mortimer,' but Walt Disney’s wife thought it sounded too serious. Thanks to her, Mickey was born!"
1173,"I’m the ocean that hugs the west coast of the USA. Who am I?","Atlantic Ocean","Pacific Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","The Pacific is so big it could fit all continents combined — talk about being the heavyweight of oceans!"
1174,"I’m the frozen continent where penguins walk like gentlemen. Who am I?","Antarctica","Arctic","Greenland","Iceland","Antarctica","It’s the driest place on Earth — even though it’s covered in ice. Basically, a giant freezer with no water to drink!"
1175,"I’m the U.S. state known as 'The Sunshine State'. Who am I?","California","Florida","Texas","Arizona","Florida","Florida has more lightning strikes than any other state — looks like even the sky is electrified to be there!"
1176,"I’m a world-famous painting with a mysterious smile. Who am I?","Mona Lisa","The Starry Night","The Last Supper","The Scream","Mona Lisa","Her smile changes depending on where you look — it’s basically the world’s oldest optical illusion!"
1177,"I’m the largest planet in our solar system. Who am I?","Saturn","Jupiter","Neptune","Earth","Jupiter","Jupiter’s storm, the Great Red Spot, has been raging for 300 years — that’s one angry weather forecast!"
1178,"I’m the city known as 'The Big Apple'. Who am I?","Los Angeles","New York","Chicago","Boston","New York","The nickname came from horse racing slang — now everyone’s biting the Big Apple instead of racing horses!"
1179,"I’m the superhero who wears an iron suit and flies. Who am I?","Iron Man","Batman","Superman","Spider-Man","Iron Man","Tony Stark’s suit would cost over $100 million in real life — and still wouldn’t come with Jarvis!"
1180,"I’m a social media app where tweets fly faster than birds. Who am I?","Instagram","Snapchat","X (Twitter)","Threads","X (Twitter)","The original logo bird’s name was 'Larry' — named after basketball legend Larry Bird!"
1181,"I’m the inventor who lit up the world — literally. Who am I?","Nikola Tesla","Albert Einstein","Thomas Edison","Isaac Newton","Thomas Edison","Edison held over 1,000 patents — probably had more ideas than most people have thoughts!"
1182,"I’m the Indian leader who taught peace without war. Who am I?","Subhas Chandra Bose","Jawaharlal Nehru","Mahatma Gandhi","Sardar Patel","Mahatma Gandhi","He walked 240 miles during the Salt March — that’s more cardio than most people do in a year!"
1183,"I’m the frozen dessert loved by everyone, especially after heartbreak. Who am I?","Cake","Ice Cream","Donut","Pie","Ice Cream","The average American eats 20 pounds of ice cream a year — that’s pure happiness per scoop!"
1184,"I’m the national bird of the USA. Who am I?","Bald Eagle","Pigeon","Falcon","Hawk","Bald Eagle","Ben Franklin wanted the turkey instead — imagine pledging allegiance to a bird that gobbles!"
1185,"I’m a famous American tech company founded in a garage. Who am I?","Apple","Microsoft","Amazon","Google","Apple","The first Apple computer was sold for $666.66 — spooky price for such a sweet product!"
1186,"I’m the desert with the hottest recorded temperature on Earth. Who am I?","Sahara","Death Valley","Gobi","Atacama","Death Valley","It once hit 134°F — that’s hot enough to fry an egg faster than your mom’s pan!"
1187,"I’m the famous American building where the President lives. Who am I?","Pentagon","White House","Capitol","Lincoln Memorial","White House","It was repainted white after being burned in 1814 — talk about a glow-up!"
1188,"I’m the coldest planet in the solar system. Who am I?","Uranus","Neptune","Saturn","Pluto","Neptune","Winds on Neptune blow faster than sound — talk about nature breaking the speed limit!"
1189,"I’m the country that gave the world pizza and pasta. Who am I?","Spain","Italy","France","Greece","Italy","Italians eat so much pasta that if laid end to end, it could circle the Earth multiple times!"
1190,"I’m the author of 'Harry Potter'. Who am I?","J.K. Rowling","Suzanne Collins","Stephen King","Rick Riordan","J.K. Rowling","She was rejected 12 times before a publisher said yes — proof that persistence beats magic!"
1191,"I’m the capital city of Japan. Who am I?","Osaka","Tokyo","Kyoto","Nagoya","Tokyo","Tokyo has more Michelin-star restaurants than any other city — basically heaven for food lovers!"
1192,"I’m a famous red fruit often mistaken for a vegetable. Who am I?","Strawberry","Tomato","Cherry","Apple","Tomato","In 1893, the US Supreme Court declared it a vegetable for tax reasons — legal drama over salad!"
1193,"I’m the largest state in the USA. Who am I?","Texas","California","Alaska","Montana","Alaska","Alaska is so big, you could fit Texas twice — and still have space for California!"
1194,"I’m the American billionaire who built Tesla and SpaceX. Who am I?","Jeff Bezos","Mark Zuckerberg","Elon Musk","Bill Gates","Elon Musk","He wants to colonize Mars — because apparently, Earth isn’t challenging enough!"
1195,"I’m the Indian city known as the 'Pink City'. Who am I?","Jaipur","Jodhpur","Agra","Udaipur","Jaipur","The city was painted pink to welcome the Prince of Wales in 1876 — and it never lost the blush!"
1196,"I’m the beverage made from roasted beans and wake people up daily. Who am I?","Tea","Coffee","Hot Chocolate","Milk","Coffee","Coffee was once banned in Mecca for being 'too stimulating' — clearly, they didn’t have exams then!"
1197,"I’m the city where dreams shine brighter than stars, and actors chase fame on every street. Who am I?","New York","Los Angeles","Las Vegas","San Diego","Los Angeles","Hollywood sign originally read 'Hollywoodland' and was just an ad for a housing project before fame took over!"
1198,"I’m the land of tea, cricket, and Bollywood. Who am I?","India","Sri Lanka","Pakistan","Bangladesh","India","India produces over 1,000 movies a year — that’s more drama than your favorite soap opera!"
